Gross Annual Income,Weekly Savings under new Scheme at 19.50%,Weekly Income under new scheme,Weekly Income under old scheme1k,3/w,19/w,15/w
2k,7/w,38/w,30/w
3k,11/w,57/w,46/w
4k,15/w,76/w,61/w
5k,18/w,96/w,77/w
6k,22/w,115/w,92/w
7k,26/w,134/w,108/w
8k,30/w,153/w,123/w
9k,33/w,173/w,139/w
10k,37/w,192/w,154/w
11k,41/w,211/w,170/w
12k,45/w,230/w,185/w
13k,48/w,250/w,201/w
14k,52/w,269/w,216/w
15k,56/w,288/w,232/w
16k,60/w,307/w,247/w
17k,63/w,326/w,263/w
18k,67/w,346/w,278/w
19k,71/w,365/w,294/w
20k,75/w,384/w,309/w
21k,75/w,400/w,325/w
22k,75/w,415/w,340/w
23k,75/w,431/w,356/w
24k,75/w,446/w,371/w
25k,75/w,462/w,387/w
26k,75/w,477/w,402/w
27k,75/w,492/w,417/w
28k,75/w,508/w,433/w
29k,75/w,523/w,448/w
30k,75/w,539/w,464/w
31k,75/w,554/w,479/w
32k,75/w,570/w,495/w
33k,75/w,585/w,510/w
34k,75/w,601/w,526/w
35k,75/w,616/w,541/w
36k,75/w,632/w,557/w
37k,75/w,647/w,572/w
38k,75/w,663/w,588/w
39k,176/w,678/w,502/w
40k,178/w,694/w,515/w
41k,181/w,709/w,528/w
42k,184/w,725/w,541/w
43k,186/w,740/w,554/w
44k,189/w,756/w,566/w
45k,191/w,771/w,579/w
46k,194/w,787/w,592/w
47k,197/w,802/w,605/w
48k,199/w,818/w,618/w
49k,202/w,833/w,631/w
50k,204/w,849/w,644/w
51k,207/w,864/w,657/w
52k,210/w,880/w,669/w
53k,212/w,895/w,682/w
54k,215/w,910/w,695/w
55k,217/w,926/w,708/w
56k,220/w,941/w,721/w
57k,222/w,957/w,734/w
58k,225/w,972/w,747/w
59k,228/w,988/w,760/w
60k,230/w,1003/w,773/w
61k,303/w,1019/w,715/w
62k,307/w,1034/w,727/w
63k,311/w,1050/w,739/w
64k,315/w,1065/w,750/w
65k,318/w,1081/w,762/w
66k,322/w,1096/w,774/w
67k,326/w,1112/w,785/w
68k,329/w,1127/w,797/w
69k,333/w,1143/w,809/w
70k,337/w,1158/w,821/w
71k,341/w,1174/w,832/w
72k,344/w,1189/w,844/w
73k,348/w,1205/w,856/w
74k,352/w,1220/w,868/w
75k,356/w,1236/w,879/w
76k,359/w,1251/w,891/w
77k,363/w,1267/w,903/w
78k,367/w,1282/w,915/w
79k,371/w,1297/w,926/w
80k,375/w,1313/w,938/w
81k,378/w,1328/w,950/w
82k,382/w,1344/w,961/w
83k,386/w,1359/w,973/w
84k,390/w,1375/w,985/w
85k,393/w,1390/w,997/w
86k,397/w,1406/w,1008/w
87k,401/w,1421/w,1020/w
88k,405/w,1437/w,1032/w
89k,408/w,1452/w,1044/w
90k,412/w,1468/w,1055/w
91k,416/w,1483/w,1067/w
92k,420/w,1499/w,1079/w
93k,423/w,1514/w,1090/w
94k,427/w,1530/w,1102/w
95k,431/w,1545/w,1114/w
96k,435/w,1561/w,1126/w
97k,438/w,1576/w,1137/w
98k,442/w,1592/w,1149/w
99k,446/w,1607/w,1161/w
100k,450/w,1623/w,1173/w
101k,453/w,1638/w,1184/w
102k,457/w,1654/w,1196/w
103k,461/w,1669/w,1208/w
104k,465/w,1685/w,1220/w
105k,468/w,1700/w,1231/w
106k,472/w,1715/w,1243/w
107k,476/w,1731/w,1255/w
108k,480/w,1746/w,1266/w
109k,483/w,1762/w,1278/w
110k,487/w,1777/w,1290/w
111k,491/w,1793/w,1302/w
112k,495/w,1808/w,1313/w
113k,498/w,1824/w,1325/w
114k,502/w,1839/w,1337/w
115k,506/w,1855/w,1349/w
116k,510/w,1870/w,1360/w
117k,513/w,1886/w,1372/w
118k,517/w,1901/w,1384/w
119k,521/w,1917/w,1395/w
