Gross Annual Income,Weekly Savings under new Scheme at 33.00%,Weekly Income under new scheme,Weekly Income under old scheme1k,3/w,19/w,15/w
195k,351/w,2639/w,2287/w
196k,353/w,2652/w,2299/w
197k,354/w,2665/w,2310/w
198k,355/w,2678/w,2322/w
199k,356/w,2690/w,2334/w
200k,357/w,2703/w,2346/w
201k,358/w,2716/w,2357/w
202k,360/w,2729/w,2369/w
203k,361/w,2742/w,2381/w
204k,362/w,2755/w,2393/w
205k,363/w,2768/w,2404/w
206k,364/w,2781/w,2416/w
207k,365/w,2794/w,2428/w
208k,366/w,2806/w,2440/w
209k,368/w,2819/w,2451/w
210k,369/w,2832/w,2463/w
211k,370/w,2845/w,2475/w
212k,371/w,2858/w,2486/w
213k,372/w,2871/w,2498/w
214k,373/w,2884/w,2510/w
215k,375/w,2897/w,2522/w
216k,376/w,2910/w,2533/w
217k,377/w,2922/w,2545/w
218k,378/w,2935/w,2557/w
219k,379/w,2948/w,2569/w
220k,380/w,2961/w,2580/w
221k,381/w,2974/w,2592/w
222k,383/w,2987/w,2604/w
223k,384/w,3000/w,2615/w
224k,385/w,3013/w,2627/w
225k,386/w,3025/w,2639/w
226k,387/w,3038/w,2651/w
227k,388/w,3051/w,2662/w
228k,389/w,3064/w,2674/w
229k,391/w,3077/w,2686/w
230k,392/w,3090/w,2698/w
231k,393/w,3103/w,2709/w
232k,394/w,3116/w,2721/w
233k,395/w,3129/w,2733/w
234k,396/w,3141/w,2745/w
235k,398/w,3154/w,2756/w
236k,399/w,3167/w,2768/w
237k,400/w,3180/w,2780/w
238k,401/w,3193/w,2791/w
239k,402/w,3206/w,2803/w
240k,403/w,3219/w,2815/w
241k,404/w,3232/w,2827/w
242k,406/w,3244/w,2838/w
243k,407/w,3257/w,2850/w
244k,408/w,3270/w,2862/w
245k,409/w,3283/w,2874/w
246k,410/w,3296/w,2885/w
247k,411/w,3309/w,2897/w
248k,413/w,3322/w,2909/w
249k,414/w,3335/w,2920/w
250k,415/w,3348/w,2932/w
251k,416/w,3360/w,2944/w
252k,417/w,3373/w,2956/w
253k,418/w,3386/w,2967/w
254k,419/w,3399/w,2979/w
255k,421/w,3412/w,2991/w
256k,422/w,3425/w,3003/w
257k,423/w,3438/w,3014/w
258k,424/w,3451/w,3026/w
259k,425/w,3464/w,3038/w
260k,426/w,3476/w,3050/w
261k,428/w,3489/w,3061/w
262k,429/w,3502/w,3073/w
263k,430/w,3515/w,3085/w
264k,431/w,3528/w,3096/w
265k,432/w,3541/w,3108/w
266k,433/w,3554/w,3120/w
267k,434/w,3567/w,3132/w
268k,436/w,3579/w,3143/w
269k,437/w,3592/w,3155/w
270k,438/w,3605/w,3167/w
271k,439/w,3618/w,3179/w
272k,440/w,3631/w,3190/w
273k,441/w,3644/w,3202/w
274k,443/w,3657/w,3214/w
275k,444/w,3670/w,3225/w
276k,445/w,3683/w,3237/w
277k,446/w,3695/w,3249/w
278k,447/w,3708/w,3261/w
279k,448/w,3721/w,3272/w
280k,449/w,3734/w,3284/w
281k,451/w,3747/w,3296/w
282k,452/w,3760/w,3308/w
283k,453/w,3773/w,3319/w
284k,454/w,3786/w,3331/w
285k,455/w,3799/w,3343/w
286k,456/w,3811/w,3355/w
287k,458/w,3824/w,3366/w
288k,459/w,3837/w,3378/w
289k,460/w,3850/w,3390/w
290k,461/w,3863/w,3401/w
291k,462/w,3876/w,3413/w
292k,463/w,3889/w,3425/w
293k,464/w,3902/w,3437/w
294k,466/w,3914/w,3448/w
295k,467/w,3927/w,3460/w
296k,468/w,3940/w,3472/w
297k,469/w,3953/w,3484/w
298k,470/w,3966/w,3495/w
299k,471/w,3979/w,3507/w
300k,473/w,3992/w,3519/w
301k,474/w,4005/w,3530/w
302k,475/w,4018/w,3542/w
303k,476/w,4030/w,3554/w
304k,477/w,4043/w,3566/w
305k,478/w,4056/w,3577/w
306k,479/w,4069/w,3589/w
307k,481/w,4082/w,3601/w
308k,482/w,4095/w,3613/w
309k,483/w,4108/w,3624/w
310k,484/w,4121/w,3636/w
311k,485/w,4134/w,3648/w
312k,486/w,4146/w,3660/w
313k,488/w,4159/w,3671/w
314k,489/w,4172/w,3683/w
315k,490/w,4185/w,3695/w
316k,491/w,4198/w,3706/w
317k,492/w,4211/w,3718/w
318k,493/w,4224/w,3730/w
319k,494/w,4237/w,3742/w
320k,496/w,4249/w,3753/w
321k,497/w,4262/w,3765/w
322k,498/w,4275/w,3777/w
323k,499/w,4288/w,3789/w
324k,500/w,4301/w,3800/w
325k,501/w,4314/w,3812/w
326k,503/w,4327/w,3824/w
327k,504/w,4340/w,3835/w
328k,505/w,4353/w,3847/w
329k,506/w,4365/w,3859/w
330k,507/w,4378/w,3871/w
331k,508/w,4391/w,3882/w
332k,509/w,4404/w,3894/w
333k,511/w,4417/w,3906/w
334k,512/w,4430/w,3918/w
335k,513/w,4443/w,3929/w
336k,514/w,4456/w,3941/w
337k,515/w,4469/w,3953/w
338k,516/w,4481/w,3965/w
339k,518/w,4494/w,3976/w
340k,519/w,4507/w,3988/w
341k,520/w,4520/w,4000/w
342k,521/w,4533/w,4011/w
343k,522/w,4546/w,4023/w
344k,523/w,4559/w,4035/w
345k,524/w,4572/w,4047/w
346k,526/w,4584/w,4058/w
347k,527/w,4597/w,4070/w
348k,528/w,4610/w,4082/w
349k,529/w,4623/w,4094/w
350k,530/w,4636/w,4105/w
351k,531/w,4649/w,4117/w
352k,533/w,4662/w,4129/w
353k,534/w,4675/w,4140/w
354k,535/w,4688/w,4152/w
355k,536/w,4700/w,4164/w
356k,537/w,4713/w,4176/w
357k,538/w,4726/w,4187/w
358k,539/w,4739/w,4199/w
359k,541/w,4752/w,4211/w
360k,542/w,4765/w,4223/w
361k,543/w,4778/w,4234/w
362k,544/w,4791/w,4246/w
363k,545/w,4804/w,4258/w
364k,546/w,4816/w,4270/w
365k,548/w,4829/w,4281/w
366k,549/w,4842/w,4293/w
367k,550/w,4855/w,4305/w
368k,551/w,4868/w,4316/w
369k,552/w,4881/w,4328/w
370k,553/w,4894/w,4340/w
371k,554/w,4907/w,4352/w
372k,556/w,4919/w,4363/w
373k,557/w,4932/w,4375/w
374k,558/w,4945/w,4387/w
375k,559/w,4958/w,4399/w
376k,560/w,4971/w,4410/w
377k,561/w,4984/w,4422/w
378k,563/w,4997/w,4434/w
379k,564/w,5010/w,4445/w
380k,565/w,5023/w,4457/w
381k,566/w,5035/w,4469/w
382k,567/w,5048/w,4481/w
383k,568/w,5061/w,4492/w
384k,570/w,5074/w,4504/w
385k,571/w,5087/w,4516/w
386k,572/w,5100/w,4528/w
387k,573/w,5113/w,4539/w
388k,574/w,5126/w,4551/w
389k,575/w,5139/w,4563/w
390k,576/w,5151/w,4575/w
391k,578/w,5164/w,4586/w
392k,579/w,5177/w,4598/w
393k,580/w,5190/w,4610/w
394k,581/w,5203/w,4621/w
395k,582/w,5216/w,4633/w
396k,583/w,5229/w,4645/w
397k,585/w,5242/w,4657/w
398k,586/w,5255/w,4668/w
399k,587/w,5267/w,4680/w
400k,588/w,5280/w,4692/w
401k,589/w,5293/w,4704/w
402k,590/w,5306/w,4715/w
403k,591/w,5319/w,4727/w
404k,593/w,5332/w,4739/w
405k,594/w,5345/w,4750/w
406k,595/w,5358/w,4762/w
407k,596/w,5370/w,4774/w
408k,597/w,5383/w,4786/w
409k,598/w,5396/w,4797/w
410k,600/w,5409/w,4809/w
411k,601/w,5422/w,4821/w
412k,602/w,5435/w,4833/w
413k,603/w,5448/w,4844/w
414k,604/w,5461/w,4856/w
415k,605/w,5474/w,4868/w
416k,606/w,5486/w,4880/w
417k,608/w,5499/w,4891/w
418k,609/w,5512/w,4903/w
419k,610/w,5525/w,4915/w
420k,611/w,5538/w,4926/w
421k,612/w,5551/w,4938/w
422k,613/w,5564/w,4950/w
423k,615/w,5577/w,4962/w
424k,616/w,5590/w,4973/w
425k,617/w,5602/w,4985/w
426k,618/w,5615/w,4997/w
427k,619/w,5628/w,5009/w
428k,620/w,5641/w,5020/w
429k,621/w,5654/w,5032/w
430k,623/w,5667/w,5044/w
431k,624/w,5680/w,5055/w
432k,625/w,5693/w,5067/w
433k,626/w,5705/w,5079/w
434k,627/w,5718/w,5091/w
435k,628/w,5731/w,5102/w
436k,629/w,5744/w,5114/w
437k,631/w,5757/w,5126/w
438k,632/w,5770/w,5138/w
439k,633/w,5783/w,5149/w
440k,634/w,5796/w,5161/w
441k,635/w,5809/w,5173/w
442k,636/w,5821/w,5185/w
443k,638/w,5834/w,5196/w
444k,639/w,5847/w,5208/w
445k,640/w,5860/w,5220/w
446k,641/w,5873/w,5231/w
447k,642/w,5886/w,5243/w
448k,643/w,5899/w,5255/w
449k,644/w,5912/w,5267/w
450k,646/w,5924/w,5278/w
451k,647/w,5937/w,5290/w
452k,648/w,5950/w,5302/w
453k,649/w,5963/w,5314/w
454k,650/w,5976/w,5325/w
455k,651/w,5989/w,5337/w
456k,653/w,6002/w,5349/w
457k,654/w,6015/w,5360/w
458k,655/w,6028/w,5372/w
459k,656/w,6040/w,5384/w
460k,657/w,6053/w,5396/w
461k,658/w,6066/w,5407/w
