Gross Annual Income,Weekly Savings under new Scheme at 33.00%,Weekly Income under new scheme,Weekly Income under old scheme1k,3/w,19/w,15/w
818k,1070/w,10666/w,9595/w
819k,1071/w,10679/w,9607/w
820k,1073/w,10692/w,9619/w
821k,1074/w,10705/w,9630/w
822k,1075/w,10718/w,9642/w
823k,1076/w,10730/w,9654/w
824k,1077/w,10743/w,9666/w
825k,1078/w,10756/w,9677/w
826k,1080/w,10769/w,9689/w
827k,1081/w,10782/w,9701/w
828k,1082/w,10795/w,9713/w
829k,1083/w,10808/w,9724/w
830k,1084/w,10821/w,9736/w
831k,1085/w,10834/w,9748/w
832k,1086/w,10846/w,9760/w
833k,1088/w,10859/w,9771/w
834k,1089/w,10872/w,9783/w
835k,1090/w,10885/w,9795/w
836k,1091/w,10898/w,9806/w
837k,1092/w,10911/w,9818/w
838k,1093/w,10924/w,9830/w
839k,1095/w,10937/w,9842/w
840k,1096/w,10949/w,9853/w
841k,1097/w,10962/w,9865/w
842k,1098/w,10975/w,9877/w
843k,1099/w,10988/w,9889/w
844k,1100/w,11001/w,9900/w
845k,1101/w,11014/w,9912/w
846k,1103/w,11027/w,9924/w
847k,1104/w,11040/w,9935/w
848k,1105/w,11053/w,9947/w
849k,1106/w,11065/w,9959/w
850k,1107/w,11078/w,9971/w
851k,1108/w,11091/w,9982/w
852k,1109/w,11104/w,9994/w
853k,1111/w,11117/w,10006/w
854k,1112/w,11130/w,10018/w
855k,1113/w,11143/w,10029/w
856k,1114/w,11156/w,10041/w
857k,1115/w,11169/w,10053/w
858k,1116/w,11181/w,10065/w
859k,1118/w,11194/w,10076/w
860k,1119/w,11207/w,10088/w
861k,1120/w,11220/w,10100/w
862k,1121/w,11233/w,10111/w
863k,1122/w,11246/w,10123/w
864k,1123/w,11259/w,10135/w
865k,1124/w,11272/w,10147/w
866k,1126/w,11284/w,10158/w
867k,1127/w,11297/w,10170/w
868k,1128/w,11310/w,10182/w
869k,1129/w,11323/w,10194/w
870k,1130/w,11336/w,10205/w
871k,1131/w,11349/w,10217/w
872k,1133/w,11362/w,10229/w
873k,1134/w,11375/w,10240/w
874k,1135/w,11388/w,10252/w
875k,1136/w,11400/w,10264/w
876k,1137/w,11413/w,10276/w
877k,1138/w,11426/w,10287/w
878k,1139/w,11439/w,10299/w
879k,1141/w,11452/w,10311/w
880k,1142/w,11465/w,10323/w
881k,1143/w,11478/w,10334/w
882k,1144/w,11491/w,10346/w
883k,1145/w,11504/w,10358/w
884k,1146/w,11516/w,10370/w
885k,1148/w,11529/w,10381/w
886k,1149/w,11542/w,10393/w
887k,1150/w,11555/w,10405/w
888k,1151/w,11568/w,10416/w
889k,1152/w,11581/w,10428/w
890k,1153/w,11594/w,10440/w
891k,1154/w,11607/w,10452/w
892k,1156/w,11619/w,10463/w
893k,1157/w,11632/w,10475/w
894k,1158/w,11645/w,10487/w
895k,1159/w,11658/w,10499/w
896k,1160/w,11671/w,10510/w
897k,1161/w,11684/w,10522/w
898k,1163/w,11697/w,10534/w
899k,1164/w,11710/w,10545/w
900k,1165/w,11723/w,10557/w
901k,1166/w,11735/w,10569/w
902k,1167/w,11748/w,10581/w
903k,1168/w,11761/w,10592/w
904k,1169/w,11774/w,10604/w
905k,1171/w,11787/w,10616/w
906k,1172/w,11800/w,10628/w
907k,1173/w,11813/w,10639/w
908k,1174/w,11826/w,10651/w
909k,1175/w,11839/w,10663/w
910k,1176/w,11851/w,10675/w
911k,1178/w,11864/w,10686/w
912k,1179/w,11877/w,10698/w
913k,1180/w,11890/w,10710/w
914k,1181/w,11903/w,10721/w
915k,1182/w,11916/w,10733/w
916k,1183/w,11929/w,10745/w
917k,1184/w,11942/w,10757/w
918k,1186/w,11954/w,10768/w
919k,1187/w,11967/w,10780/w
920k,1188/w,11980/w,10792/w
921k,1189/w,11993/w,10804/w
922k,1190/w,12006/w,10815/w
923k,1191/w,12019/w,10827/w
924k,1193/w,12032/w,10839/w
925k,1194/w,12045/w,10850/w
926k,1195/w,12058/w,10862/w
927k,1196/w,12070/w,10874/w
928k,1197/w,12083/w,10886/w
929k,1198/w,12096/w,10897/w
930k,1199/w,12109/w,10909/w
931k,1201/w,12122/w,10921/w
932k,1202/w,12135/w,10933/w
933k,1203/w,12148/w,10944/w
934k,1204/w,12161/w,10956/w
935k,1205/w,12174/w,10968/w
936k,1206/w,12186/w,10980/w
937k,1208/w,12199/w,10991/w
938k,1209/w,12212/w,11003/w
939k,1210/w,12225/w,11015/w
940k,1211/w,12238/w,11026/w
941k,1212/w,12251/w,11038/w
942k,1213/w,12264/w,11050/w
943k,1214/w,12277/w,11062/w
944k,1216/w,12289/w,11073/w
945k,1217/w,12302/w,11085/w
946k,1218/w,12315/w,11097/w
947k,1219/w,12328/w,11109/w
948k,1220/w,12341/w,11120/w
949k,1221/w,12354/w,11132/w
950k,1223/w,12367/w,11144/w
951k,1224/w,12380/w,11155/w
952k,1225/w,12393/w,11167/w
953k,1226/w,12405/w,11179/w
954k,1227/w,12418/w,11191/w
955k,1228/w,12431/w,11202/w
956k,1229/w,12444/w,11214/w
957k,1231/w,12457/w,11226/w
958k,1232/w,12470/w,11238/w
959k,1233/w,12483/w,11249/w
960k,1234/w,12496/w,11261/w
961k,1235/w,12509/w,11273/w
962k,1236/w,12521/w,11285/w
963k,1238/w,12534/w,11296/w
964k,1239/w,12547/w,11308/w
965k,1240/w,12560/w,11320/w
966k,1241/w,12573/w,11331/w
967k,1242/w,12586/w,11343/w
968k,1243/w,12599/w,11355/w
969k,1244/w,12612/w,11367/w
970k,1246/w,12624/w,11378/w
971k,1247/w,12637/w,11390/w
972k,1248/w,12650/w,11402/w
973k,1249/w,12663/w,11414/w
974k,1250/w,12676/w,11425/w
975k,1251/w,12689/w,11437/w
976k,1253/w,12702/w,11449/w
977k,1254/w,12715/w,11460/w
978k,1255/w,12728/w,11472/w
979k,1256/w,12740/w,11484/w
980k,1257/w,12753/w,11496/w
981k,1258/w,12766/w,11507/w
982k,1259/w,12779/w,11519/w
983k,1261/w,12792/w,11531/w
984k,1262/w,12805/w,11543/w
985k,1263/w,12818/w,11554/w
986k,1264/w,12831/w,11566/w
987k,1265/w,12844/w,11578/w
988k,1266/w,12856/w,11590/w
989k,1268/w,12869/w,11601/w
990k,1269/w,12882/w,11613/w
991k,1270/w,12895/w,11625/w
992k,1271/w,12908/w,11636/w
993k,1272/w,12921/w,11648/w
994k,1273/w,12934/w,11660/w
995k,1274/w,12947/w,11672/w
996k,1276/w,12959/w,11683/w
997k,1277/w,12972/w,11695/w
998k,1278/w,12985/w,11707/w
999k,1279/w,12998/w,11719/w
1000k,1280/w,13011/w,11730/w
